SIFID,d15N,d13C,WtN,WtC,CN,Comments,fishID,SampType,Stream,SampYR,SampDate,SiteID,SpecCode,TL_mm,Wt_g,Sex,Source,d13C.norm,trophic
2015_F037,10.790372,-29.1177344,13.36441907,46.04995873,3.445713464,NA,2015-LR07-CKC-12,Fish,Laramie,2015,10/9/15,LR07,CKC,61,NA,NA,Maitland,-29.1177344,NA
2015_F038,10.785377,-25.506787,13.36592289,47.32525418,3.540739727,NA,2015-LR07-CKC-07,Fish,Laramie,2015,10/9/15,LR07,CKC,122,NA,NA,Maitland,-25.32145467,NA
2015_F039,8.004161,-25.5813642,14.03248119,49.01627031,3.493057974,NA,2015-LR07-SMB-01,Fish,Laramie,2015,10/9/15,LR07,SMB,79,NA,NA,Maitland,-25.5813642,NA
2015_F040,10.666496,-25.9078914,13.67882913,47.57798873,3.478220853,NA,2015-LR07-SMB-09,Fish,NA,NA,NA,NA,NA,NA,NA,NA,Maitland,-25.9078914,NA
2015_F041,11.622539,-26.1548024,14.0577964,48.35961633,3.440056673,NA,2015-LR07-SMB-07,Fish,Laramie,2015,10/9/15,LR07,SMB,87,NA,NA,Maitland,-26.1548024,NA
2015_F042,14.087072,-26.222325,13.5861133,47.45234433,3.492709304,NA,2015-LR07-RDH-09,Fish,Laramie,2015,10/9/15,LR07,RDH,45,NA,NA,Maitland,-26.222325,NA
2015_F043,11.624537,-25.7758696,13.36184236,49.12195066,3.67628575,NA,2015-LR07-RDS-04,Fish,Laramie,2015,10/9/15,LR07,RDS,64,NA,NA,Maitland,-25.45634671,NA
2015_F044,9.424739,-27.1525244,13.28773439,44.90378081,3.379340637,NA,2015-LR07-RDH-03,Fish,Laramie,2015,10/9/15,LR07,RDH,124,NA,NA,Maitland,-27.1525244,NA
2015_F045,11.982179,-26.0792174,13.9924261,48.86386315,3.492165175,NA,2015-LR07-SMB-02,Fish,Laramie,2015,10/9/15,LR07,SMB,67,NA,NA,Maitland,-26.0792174,NA
2015_F046,10.431731,-26.5669926,13.00936519,53.36434123,4.101994251,NA,2015-LR07-FHM-01,Fish,Laramie,2015,10/9/15,LR07,FHM,47,NA,NA,Maitland,-25.82601829,NA
2015_F047,8.685479,-25.7073392,14.03344215,46.57324384,3.318732734,NA,2015-LR02-BNT-08,Fish,NA,NA,NA,NA,NA,NA,NA,NA,Maitland,-25.7073392,NA
2015_F048,7.350815,-25.4977168,14.0878603,47.78068656,3.391621265,NA,2015-LR02-WHS-01,Fish,Laramie,2015,10/8/15,LR02,WHS,80,NA,NA,Maitland,-25.4977168,NA
2015_F049,8.443721,-26.0630926,12.91985335,48.57565776,3.759768509,NA,2015-LR02-LND-02,Fish,Laramie,2015,10/8/15,LR02,LND,80,NA,NA,Maitland,-25.66092178,NA
