SpecCode.new,N,m.d13C,sd.d13C,m.d15N,sd.d15N
Baetidae,3,-30.366666666666667,0.6110100926607784,9.366666666666667,0.45092497528228964
BNT,36,-25.602041655555556,0.4633781067802382,12.897875388888888,0.7023077638612487
Decapoda,6,-26.033333333333335,0.5573747990954266,8.933333333333334,0.30110906108363256
Hydropsychidae,4,-29.025,0.5852349955359817,8.25,0.4434711565216694
Isopoda,4,-27.5,0.3366501646120684,6.025,0.5560275772537425
Minnow,25,-27.988,1.1263214461245066,11.924,0.5539855593785816
